accession	resolved_version	feature_used	fetch_date	sha256	file	notes
GSE173083	barnalab/persist branch=master, commit=232f4f67c726abc1dbf6cc10cef00c784c0f8d22 (2022-01-14, last commit touching analysis/constructs.tsv; branch main returned 404: Not Found)	constructs.tsv+samples.csv (processed labels; raw reads NOT downloaded)	2026-08-18	7e0fc06593b2fc602d33a373b5fb1af9547991318b479351c7342eb4701049a4	constructs.tsv	n_rows=233 (matches ~233 expected), n_cols=65. URL https://raw.githubusercontent.com/barnalab/persist/master/analysis/constructs.tsv. Sequence cols: RNA.sequence/X5UTR.sequence/CDS.sequence/X3UTR.sequence/Barcode. Design cols: X5UTR/CDS/X3UTR/group/utr5type/cdstype/utr3type/cov5utrs. In-cell stability label = degradation_coef_in_cell (idx28; +degradation_coef_in_cell_error idx29, half_life_in_cell idx30): numeric n=203, NA n=30 (CoV2 variants 19, UTR (5') variants 10, UTR (5'/3') variants 1). Weighted ribosome load = ribosome_load (idx23): numeric n=233 (complete). In-solution: degradation_coef_in_solution idx33 numeric n=191.
GSE173083	barnalab/persist branch=master, commit=232f4f67c726abc1dbf6cc10cef00c784c0f8d22	constructs.tsv+samples.csv	2026-08-18	6925391095e00acab7d860778b405dbb2b21b890bd61f03da03b9e31b3af59ba	samples.csv	n_rows=96, n_cols=12 (Sample_ID, Sample_Name, I7_Index_ID, index, Group, Experiment, Time, Condition, Fraction, Spikein, Type, Factor). URL https://raw.githubusercontent.com/barnalab/persist/master/analysis/samples.csv. Note: GEO GSE173083 esummary reports n_samples=70 (GSM525919-GSM525988); repo samples.csv lists 96 rows (incl. technical/replicate libraries).
SGNex_Hek293T_directRNA_replicate5_run1.pod5	SG-NEx data release V0.5.1 (2024-04-15; README-numbered; no GitHub tag)	raw signal (POD5)	2026-08-18	NOT_DOWNLOADED (>20GB)	s3://sg-nex-data/data/sequencing_data_ont/fast5/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.pod5	467543351176 bytes (435.43 GiB / 467.54 GB)	SINGLE pod5 file (not per-run dir); >20GB so not downloaded; cloud-side targeted download required; no smaller shard exists in bucket
SGNex_Hek293T_directRNA_replicate5_run1.fastq.gz	SG-NEx V0.5.1 (uploaded 2024-04-15; v0.6.0 notes say fastq re-basecalled Guppy 6.4.2)	basecalled reads	2026-08-18	NOT_DOWNLOADED	s3://sg-nex-data/data/sequencing_data_ont/fastq/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.fastq.gz	14076262788 bytes (13.11 GiB / 14.08 GB)	S3 mtime 2024-04-15 11:18:14 UTC
SGNex_Hek293T_directRNA_replicate5_run1.bam (genome)	SG-NEx V0.5.1/V0.6.0	genome-aligned BAM	2026-08-18	NOT_DOWNLOADED	s3://sg-nex-data/data/sequencing_data_ont/bam/genome/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.bam	13093035914 bytes (12.19 GiB / 13.09 GB)	GRCh38 genome alignment; S3 mtime 2024-04-26 10:59:37 UTC
SGNex_Hek293T_directRNA_replicate5_run1.bam.bai (genome)	SG-NEx V0.5.1/V0.6.0	genome BAM index	2026-08-18	NOT_DOWNLOADED	s3://sg-nex-data/data/sequencing_data_ont/bam/genome/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.bam.bai	3925720 bytes	index
SGNex_Hek293T_directRNA_replicate5_run1.bam (transcriptome)	SG-NEx V0.5.1/V0.6.0	transcriptome-aligned BAM	2026-08-18	NOT_DOWNLOADED	s3://sg-nex-data/data/sequencing_data_ont/bam/transcriptome/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.bam	15295498966 bytes (14.25 GiB / 15.30 GB)	S3 mtime 2024-04-15 11:29:19 UTC
SGNex_Hek293T_directRNA_replicate5_run1.bam.bai (transcriptome)	SG-NEx V0.5.1/V0.6.0	transcriptome BAM index	2026-08-18	NOT_DOWNLOADED	s3://sg-nex-data/data/sequencing_data_ont/bam/transcriptome/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.bam.bai	8315744 bytes	index
SG-NEx processed_data (m6Anet/xpore/blow5) for target sample	absent	NOT AVAILABLE - signal alignment outputs / mod calls	2026-08-18	n/a	s3://sg-nex-data/data/processed_data/{m6Anet,xpore,blow5}/	0 bytes for this sample	FAILS EXPECTATION verbatim: SGNex_Hek293T_directRNA_replicate5_run1 NOT present in any processed_data subprefix (m6Anet: 26 samples listed; xpore: 12; blow5: 1=K562_directRNA_replicate4_run1; none Hek293T). Mod calls / signal alignment must be computed de novo
SG-NEx metadata samples.tsv	v0.3.0-era (S3 mtime 2022-08-04)	sample metadata / chemistry lookup	2026-08-18	cd407b6444465063999d287697ccab662ce57e7909d2b0ab328257c88ad9dc14	D:/AI/BioNodulo/robust-work/data/sgnex/samples.tsv (source s3://sg-nex-data/metadata/samples.tsv)	107852 bytes	FAILS EXPECTATION verbatim: grep for hek293t_directrna_replicate5_run1 returns no row; only Hek293T directRNA reps 1-4 listed (RNA001/RNA002 kits). Chemistry for rep5 comes from GitHub README instead
SG-NEx GitHub README (GoekeLab/sg-nex-data master)	V0.6.0 section dated 2024-11-21; V0.5.1 section dated 2024-04-15	release notes / chemistry attestation	2026-08-18	e2b1f07a677e49719aafddb7cfb2e42cfd85ff7e93e896893ac4385e8bfbfbc0	https://raw.githubusercontent.com/GoekeLab/sg-nex-data/master/README.md (local: D:/AI/BioNodulo/robust-work/data/sgnex/gh_readme.md)	~26 KB	Verbatim: "Version Number: V0.5.1 / Date: 2024-04-15 / Release of new sample / - new RNA004 sample of Hek293T (SGNex_Hek293T_directRNA_replicate5_run1) / - pod5, fastq, genome and transcriptome aligned bam files are included in this release". CAVEAT: no GitHub Release/tag named v0.5.1 exists (tags: v0.6.0 v0.5.0 v0.4.0 v0.2-pre-release v0.1-pre-release; verified via GitHub API 2026-08-18); V0.5.1 exists only as README-numbered release note
Chen et al. 2025 Nat Methods	paper: Nat Methods 22:801-812 (2025)	citation / DOI verification	2026-08-18	n/a	https://doi.org/10.1038/s41592-025-02623-4	n/a	DOI resolves HTTP 200 -> https://www.nature.com/articles/s41592-025-02623-4; citation string matches README verbatim
